DrugID;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID;Remark;SrcOrg
274;1;2014;5;38113;1.00;214.07;195.61;238.00;;120874;;
57617;1;2014;5;3YGKZ02002;1.00;266.61;269.07;322.00;;120874;;
48721;1;2014;5;38070;1.00;110.03;102.74;124.70;;6747;;
257;1;2014;5;3ANNA64001;1.00;206.79;213.62;254.00;;6747;;
47243;1;2014;5;40114;2.00;286.00;277.31;334.50;;6747;;
432;1;2014;5;К32729;5.00;21.дек;23.32;28.60;;6747;;
18637;1;2014;5;571013;2.00;284.72;245.41;302.00;;6747;;
66549;1;2014;5;D400022;5.00;59.99;62.15;74.00;;6747;;
34238;1;2014;5;34830114;1.00;198.44;188.54;228.00;;6747;;
570;1;2014;5;120314;2.00;33.66;37.84;46.20;;6747;;
48848;1;2014;5;571013;1.00;548.33;560.78;643.00;;6747;;
32962;1;2014;5;1221111;5.00;26.64;25.96;32.60;;6747;;
11700;1;2014;5;NA1939;1.00;456.83;482.90;574.00;;6747;;
510;1;2014;5;1291012;50.00;15.36;11.ноя;14.90;;6747;;
17777;1;2014;5;160313;1.00;246.99;238.04;287.00;;6747;;
49291;1;2014;5;BTAC6SG;2.00;62.94;64.87;77.40;;2581;;
67815;1;2014;5;61013;1.00;201.32;181.38;221.60;;2581;;
51997;1;2014;5;15621;1.00;271.70;263.37;317.70;;2581;;
52157;1;2014;5;346062;1.00;420.92;431.70;515.80;;2581;;
18174;1;2014;5;NJ214001;1.00;148.31;145.97;175.60;;2581;;
52141;1;2014;5;13НВ8;2.00;217.28;217.99;261.40;;2581;;
310;1;2014;5;30710613;2.00;136.76;133.68;161.00;;2581;;
66690;1;2014;5;34378;1.00;672.24;675.00;775.00;;113682;;
49587;1;2014;5;2520713;2.00;262.02;240.00;290.00;;113682;;
122;1;2014;5;330813;1.00;780.84;805.00;900.00;;113682;;
19610;1;2014;5;180314;10.00;окт.63;дек.32;14.97;;14579;;
18374;1;2014;5;530314;10.00;17.50;20.30;24.67;;14579;;
22405;1;2014;5;130413;10.00;май.48;июн.35;июл.71;;ноя.39;;
24089;1;2014;5;151113;5.00;33.83;39.24;47.69;;14579;;
1989;1;2014;5;30114;5.00;21.78;25.26;30.70;;14579;;
68568;1;2014;5;34185;1.00;768.98;712.80;828.00;;6747;;
19945;1;2014;5;Т3А432А;2.00;144.34;143.00;170.00;;6747;;
43824;1;2014;5;025Н/0314;2.00;374.75;342.98;417.00;;6747;;
68403;1;2014;5;2291213;10.00;190.36;181.28;219.00;;6747;;
42067;1;2014;5;12910411;3.00;145.05;140.36;169.00;;6747;;
17777;1;2014;5;160313;2.00;246.99;238.92;288.00;;6747;;
27140;1;2014;5;390314;50.00;апр.38;05.июн;6.00;;113682;;
17994;1;2014;5;20413;5.00;14.00;дек.80;16.30;;113682;;
79;1;2014;5;50314;20.00;июл.49;авг.67;окт.50;;апр.11;;
52106;1;2014;5;33410912;20.00;299.86;279.75;339.00;;113682;;
57612;1;2014;5;С653441;5.00;154.43;152.19;183.00;;2581;;
49972;1;2014;5;41004;5.00;75.52;69.48;84.00;;2581;;
48184;1;2014;5;3В1613;5.00;99.43;100.54;120.00;;6747;;
5920;1;2014;5;30214;10.00;26.13;23.87;30.40;;6747;;
36113;1;2014;5;311013;10.00;окт.26;ноя.35;13.40;;113682;;
2325;1;2014;5;167571;10.00;254.30;270.30;313.00;;113682;;
28509;1;2014;5;1140813;20.00;79.61;84.64;100.00;;113682;;
276;1;2014;5;V19054;10.00;73.55;71.45;86.00;;2581;;
51613;1;2014;5;F13713;5.00;283.36;268.99;324.00;;2581;;
